25 Best Architecture Firms in London,These architecture firms are leading the way in London and beyond.,https://architizer.com/blog/inspiration/collections/best-architecture-firms-in-london/
"Watch the Construction of 100 Bishopsgate, London’s Newest",This remarkable time-lapse reveals the building process and the meticulous detailing of London's lat,https://architizer.com/blog/videos/100-bishopsgate-london/
Architectural Drawings: London’s Extraordinary “Iceberg Homes”,These “super basement” proposals are a consequence of rocketing land values.,https://architizer.com/blog/inspiration/collections/londons-basement-extensions/
Architectural Details: The Stunning Glulam Beams of London,Building structure and warmth in Ashtead.,https://architizer.com/blog/practice/details/freemens-school-pool/
Blending New Projects Into Historic London With Vectorworks,Yurky Cross Architects harnesses Vectorworks for a smooth design workflow.,https://architizer.com/blog/practice/tools/yurky-cross-vectorworks/
"Historic in the Front, Modern in the Back: 8 London Townhouse",Architects have reimagined and converted many of these homes from dysfunctional mazes to residential,https://architizer.com/blog/inspiration/collections/london-extension/
Herzog & de Meuron’s First London Skyscraper Sports “Unique,One Park Drive will be a 58-story cylindrical tower set to shape the heart of Canary Wharf’s newest,https://architizer.com/blog/inspiration/industry/herzog-de-mueron-new-images-one-park-drive/
This Stunning London Renovation Features a Sunken Bath That Extends,Studio 304 transforms a bathroom and kitchen in a small London apartment into a stunning oasis.,https://architizer.com/blog/inspiration/stories/sunken-bath-studio-304/
London’s New Landmark: Santiago Calatrava Reveals £1 Billion,The project will be the Spanish architect’s first ever to be built in the U.K.,https://architizer.com/blog/inspiration/industry/calatrava-greenwich-peninsula/
10 Brilliant Designs Revealed for New Holocaust Memorial in London,"Though difficult to design, these pieces of architecture and artistic expression are vital to mainta",https://architizer.com/blog/inspiration/industry/10-brilliant-designs-revealed-for-new-holocaust-memorial-in-london/
The Lost Project: Jack Self Uncovers Mies van der Rohe’s Rejected,"Palumbo withheld all physical records of the skyscraper, shrouding the last work of one of architect",https://architizer.com/blog/practice/materials/real-foundation-mies-in-london/
Architecture in Full Flight: Zaha Hadid Architects’,Zaha Hadid’s Winton Gallery set to open tomorrow in London at the Science Museum takes design inspir,https://architizer.com/blog/inspiration/industry/zaha-hadid-architects-winton-gallery-opens/
Architecture on the Market: 7 Bold Contemporary Homes in London,"This selection of homes displays a range of contemporary London residences, from stand-alone homes",https://architizer.com/blog/inspiration/collections/architecture-on-the-market-london-contemporary-homes/
London Rising: The Reinvention of London’s Waterfront in 10 Bold,"Inventive and playful, the projects share a common desire to engage London’s waterways by rethinking",https://architizer.com/blog/inspiration/collections/london-waterfront/
Brutalist Utopia: The Barbican Estate Lives On as an Iconic Londonian,"An iconic element of brutalist architecture in London, the Barbican Estate stemmed from reconstructi",https://architizer.com/blog/inspiration/stories/barbican-estate/
London Calling! Shortlist of Installations to See During the London,"Kicking off tomorrow, this annual celebration of contemporary design will once again take over a num",https://architizer.com/blog/inspiration/industry/london-design-festival-2016/
“It’s My Refuge”: Amanda Levete Guides Us Through Her Beautiful,"“You don’t need a lot of color to make something feel warm,” explains Levete.",https://architizer.com/blog/inspiration/stories/nowness-in-residence-amanda-levete/
Building the Future: How a London-Based Studio Designed a Visonary,If there’s one word that describes the Abedian School of Architecture at Bond University in Qu,https://architizer.com/blog/inspiration/stories/building-the-future-abedian/
Concrete Beauty: A Rough Guide to London’s Brutalist Housing Estates,"Explore some of London’s most iconic Brutalist housing developments, revealing their history and rem",https://architizer.com/blog/inspiration/collections/brutalist-london-housing/
Get Excited for the World’s Largest Tunnel Slide: Coming Soon,"On June 24th, visitors to London’s Queen Elizabeth Olympic Park can take a 40-second plunge do",https://architizer.com/blog/inspiration/industry/get-excited-for-the-worlds-largest-tube-slide-coming-soon-to-london/
London Calling: 8 Stylish Residential Extensions in England’s,"London, one of the most expensive real estate markets in the world, has an acute housing problem. It",https://architizer.com/blog/inspiration/collections/london-residential-extension/
London Design Festival 2015 in Two Days,"Kicking off today, London’s 100% Design promises as always to be a feast for the eyes. If you’re in",https://architizer.com/blog/practice/materials/two-day-guide-to-the-london-design-festival/
Full Speed Ahead: London’s Railway Renaissance,London has had its fair share of urban planning controversies and contentious constructions in recen,https://architizer.com/blog/inspiration/industry/londons-railway-renaissance/
London Dining Guide: Designing the British Capital’s New,"Not traditionally considered a leader in local cuisine, London’s newly burgeoning restaurant scene h",https://architizer.com/blog/inspiration/collections/london-restaurants/
Stacking Up: Is London’s Skyline Out of Control?,British firm Wilkinson Eyre is officially joining the high-rise party in England’s capital. Its prop,https://architizer.com/blog/practice/details/stacking-up-londons-skyline/
"On London, Tokyo, and Berlin: Your Beach Reads for This Week","L: ZHA’s original (unrevised) proposal for the Tokyo Stadium, image via Designboom; The Stirling Pri",https://architizer.com/blog/inspiration/industry/daily-digest-071715/
London Goes Big While NYC Goes Small: Your Midweek Must-Reads,"L: 22 Bishopsgate within the new London skyline, via theGuardian; R: Cardiff Interchange byFoster +",https://architizer.com/blog/inspiration/industry/daily-digest-150701/
